qSpecies,count,avgDBH
Pyrus calleryana 'Cleveland' :: Ornamental Pear Tree 'Cleveland',1,3
Pyrus calleryana 'New Bradford' :: New Bradford Pear,19,2.894736842
Pyrus calleryana 'Redspire' :: Ornamental Pear Tree 'Redspire',4,4.25
Pyrus calleryana :: Ornamental Pear,603,5.739635158
Pyrus kawakamii :: Evergreen Pear,384,6.760416667
Pyrus spp :: Pear Tree,9,5.555555556
Quercus agrifolia :: Coast Live Oak,114,6
Quercus alba :: White oak,1,13
Quercus engelmannii :: Engelmann oak,3,5.666666667
Quercus ilex :: Holly Oak,35,6.914285714
Quercus lobata :: Valley Oak,3,6
Quercus palustris :: Pin Oak,2,9
Quercus robur :: English Oak,2,4.5
Quercus rubra :: Red Oak,4,10
Quercus spp :: Oak,7,7.857142857
Quercus suber :: Cork Oak,66,5.818181818
Quercus tomentella :: Island oak,7,4.142857143
Quercus virginiana :: Southern Live Oak,25,5.64
Quillaja saponaria :: Chilean Soapbark,5,4.6
Radermachera sinica :: China Doll Tree,1,20
Rhamnus alaternus :: Italian Buckthorn,108,4.398148148
Rhaphiolepis indica :: India Hawthorn,24,4.208333333
Rhaphiolepis Majestic Beauty :: Indian Hawthorn  'Majestic Beau',102,4.401960784
Rhopalostylis baueri :: Palm,1,2
Rhopalostylis sapida :: Nikau palm,1,8
Rhus lancea :: African Sumac,2,10
Robinia pseudoacacia :: Black Locust,8,13.625
Robinia x ambigua 'Purple Robe' :: Purple Robe Locust,43,5.720930233
Robinia x ambigua :: Locust,3,8
Salix babylonica :: Weeping Willow,8,12.5
Salix discolor :: Pussy Willow,2,9.5
Salix matsudana 'Tortuosa' :: Corkscrew Willow,3,10
Salix spp :: Willow,6,4.833333333
Sapium sebiferum :: Chinese Tallow,2,4.5
Schefflera species :: Umbrella tree,2,12
Schinus molle :: California Pepper,58,12.39655172
Schinus terebinthifolius :: Brazilian Pepper,208,14.02884615
Sequoia sempervirens :: Coast Redwood,64,11.9375
Shrub :: Shrub,23,4.695652174
Solanum rantonnetti ::,2,14
Styphnolobium japonicum :: Chinese scholar tree,5,2.4
Styrax japonicus :: Japanese Snowdrop Tree,1,19
Syagrus romanzoffianum :: Queen Palm,187,9.946524064
Syringa :: Lilac Tree,4,5.75
Syzygium australe :: Eugenia,20,8.4
Syzygium paniculatum :: Brush Cherry,111,10.08108108
Taxodium mucronatum :: Montezuma Cypress,1,9
Taxus baccata :: Irish Yew,96,10.02083333
Tecoma stans :: Trumpet bush,1,3
Thuja occidentalis 'Emerald' :: Emerald Arborvitae,34,5.735294118
Thuja plicata :: Western Red Cedar,2,8.5
Tibochina urvilleana :: Princess Flower,9,4.111111111
Tilia americana :: Basswood Linden,2,6.5
Tilia cordata :: Littleleaf Linden,23,5.217391304
Tilia spp :: Linden,2,8.5
Tilia tomentosa :: Silver Linden,4,3
Trachycarpus fortunei :: Windmill Palm,77,8.896103896
Tristania conferta ::,349,9.200573066
Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',327,4.079510703
Tristaniopsis laurina :: Swamp Myrtle,1577,5.102726696
Ulmus 'Frontier' :: Frontier Elm,1,0
Ulmus 'Prospector' :: Prospector Elm,8,6
Ulmus americana :: American Elm,58,13.39655172
Ulmus carpinifolia 'Frontier' :: Frontier Elm 'Frontier',1,3
Ulmus parvifolia 'Drake' :: Drake's Chinese Elm,31,3.548387097
